300e6
0.0007 -0.7827 1
0.0043736 -0.7603 1
0.005466 -0.7545 1
0.0068292 -0.7474 1
0.0085344 -0.7379 1
0.0106645 -0.7252 1
0.0133266 -0.711 1
0.016653 -0.6934 1
0.0208096 -0.6719 1
0.0260036 -0.6451 1
0.0324947 -0.6135 1
0.0406056 -0.5752 1
0.0507409 -0.5289 1
0.0634067 -0.4732 1
0.079233 -0.4072 1
0.0990101 -0.3309 1
0.123724 -0.2441 1
0.154607 -0.1451 1
0.193199 -0.03534 1
0.241423 0.0838 1
0.301684 0.2097 1
0.376985 0.3387 1
0.471086 0.4671 1
0.588675 0.5891 1
0.7357 0.7006 1
0.9191 0.7962 1
1.1487 0.8735 1
1.4357 0.9279 1
1.7934 0.9634 1
2.2414 0.984 1
2.8007 0.9939 1
7 1 1
